Company,Valuation,Industry,City,Country,Continent,Year Founded,Funding
1047 Games,2000000000,Internet software & services,Zephyr Cove,United States,North America,2017,127000000
1KMXC,1000000000,Hardware,Hangzhou,China,Asia,2014,86000000
1Password,7000000000,Cybersecurity,Toronto,Canada,North America,2005,920000000
4Paradigm,2000000000,Artificial intelligence,Beijing,China,Asia,2015,1000000000
56PINGTAI,1000000000,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2013,188000000
58 Daojia,1000000000,Internet software & services,Beijing,China,Asia,2014,300000000
6Sense,5000000000,Artificial intelligence,San Francisco,United States,North America,2013,426000000
A24 Films,3000000000,Other,New York,United States,North America,2012,225000000
ABL Space Systems,2000000000,Other,El Segundo,United States,North America,2017,419000000
Abogen,4000000000,Health,Suzhou,China,Asia,2019,1000000000
Accelerant,2000000000,Other,Colchester,United Kingdom,Europe,2018,193000000
Acko General Insurance,1000000000,Fintech,Bengaluru,India,Asia,2016,458000000
Acorns,2000000000,Fintech,Irvine,United States,North America,2012,507000000
Acronis,3000000000,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,408000000
ActiveCampaign,3000000000,Internet software & services,Chicago,United States,North America,2003,360000000
Ada Support,1000000000,Artificial intelligence,Toronto,Canada,North America,2016,191000000
