Societe Generale Ghana PLC — Balance Sheet,,,,
Statement of Financial Position | As at 31 March,,,,
All amounts in thousands of Ghana Cedis (GH¢'000) unless stated otherwise,,,,
Line Item,2026 (GH¢'000),2025 (GH¢'000),GH¢ Variance,% Variance
ASSETS,,,,
Cash and cash equivalents,"2,773,720","3,293,772","(520,052)",-15.8%
Non-pledged trading assets,"7,587","10,369","(2,782)",-26.8%
Debt instruments at amortised cost,"2,615,737","1,396,566","1,219,171",87.3%
Loans and advances to customers,"4,183,532","4,817,070","(633,538)",-13.2%
Equity investments,"9,368","5,513","3,855",69.9%
Deferred tax assets,"2,771",-,"2,771",N/A
Current tax assets,"28,741",-,"28,741",N/A
"Property, plant and equipment","716,454","752,321","(35,867)",-4.8%
Intangible assets,"167,659","152,175","15,484",10.2%
Other assets,"118,112","143,083","(24,971)",-17.5%
Total assets,"10,623,681","10,570,869","52,812",0.5%
,,,,
LIABILITIES,,,,
Derivative financial liabilities,-,"3,410","(3,410)",-100.0%
Deposits from banks,"1,553","60,381","(58,828)",-97.4%
Deposits from customers,"6,666,855","6,443,855","223,000",3.5%
Borrowings,"336,454","428,952","(92,498)",-21.6%
Current tax liabilities,-,"24,937","(24,937)",-100.0%
Deferred tax liabilities,-,"2,218","(2,218)",-100.0%
Other liabilities,"965,359","1,024,617","(59,258)",-5.8%
Total liabilities,"7,970,221","7,988,370","(18,149)",-0.2%
,,,,
SHAREHOLDERS' FUND,,,,
Stated capital,"404,245","404,245",-,-
Retained earnings,"1,193,037","1,161,085","31,952",2.8%
Revaluation reserve,"505,250","505,250",-,-
Statutory reserve,"550,928","511,919","39,009",7.6%
Total shareholders' fund,"2,653,460","2,582,499","70,961",2.7%
,,,,
Total liabilities and shareholders' fund,"10,623,681","10,570,869","52,812",0.5%
,,,,
BALANCE SHEET INTEGRITY CHECK,,,,
Period,Total Assets,Total Liabilities + Equity,Difference,Status
2026,"10,623,681","10,623,681",-,✓ Balanced
2025,"10,570,869","10,570,869",-,✓ Balanced
