Item,Mar-2026,Mar-2025
Interest income calculated using the effective interest method,520190,493268
Interest and other similar income,3461,68
Interest expense calculated using the effective interest method,-180735,-168500
Net interest income,342916,324836
Fee and commission income,184897,148150
Fee and commission expense,-51582,-39919
Net fee and commission income,133315,108231
Net trading income,71721,55497
Net income from other financial instruments carried at fair value,1313,400
Net operating income,549266,488964
Other income,105,84
Net impairment on financial instruments,-2325,-1546
Personnel expenses,-39241,-32185
Amortisation of prepaid leases,-960,-821
Depreciation and amortisation,-19320,-7753
Other operating expenses,-74499,-60359
Profit before income tax expense,413026,386384
Income tax expense,-144559,-135234
Profit for the quarter,268467,251150
